cogn_load,painlvl,trialtyp,painrating,painrating_validity,nbackresponse,nbackresponse_validyity,numboftargetocc,correctans,trialnum,run,blocktype,subjID
1,0,1,15.0297619047619,1,3,1,3,1,11,2,3,nggeqqi8h
2,0,2,15.7738095238095,1,2,1,2,1,12,2,3,nggeqqi8h
1,1,3,67.8571428571429,1,2,1,3,0,13,2,3,nggeqqi8h
1,1,3,73.0654761904762,1,4,1,4,1,14,2,3,nggeqqi8h
2,0,2,34.375,1,3,1,3,1,15,2,3,nggeqqi8h
2,1,4,22.4702380952381,1,5,1,4,0,16,2,3,nggeqqi8h
1,0,1,58.1845238095238,1,4,1,4,1,17,2,3,nggeqqi8h
2,0,2,22.4702380952381,1,2,1,2,1,18,2,3,nggeqqi8h
2,1,4,56.6964285714286,1,4,1,5,0,19,2,3,nggeqqi8h
1,1,3,60.4166666666667,1,4,1,4,1,20,2,3,nggeqqi8h
1,0,1,19.4940476190476,1,3,1,3,1,1,1,5,nggnzmfks
2,1,4,33.6309523809524,1,3,1,4,0,2,1,5,nggnzmfks
2,0,2,5.35714285714286,1,2,1,2,1,3,1,5,nggnzmfks
2,0,2,15.7738095238095,1,3,1,4,0,4,1,5,nggnzmfks
2,1,4,21.7261904761905,1,4,1,4,1,5,1,5,nggnzmfks
1,1,3,31.3988095238095,1,2,1,2,1,6,1,5,nggnzmfks
2,0,2,-0,1,5,1,5,1,7,1,5,nggnzmfks
1,1,3,32.1428571428571,1,2,1,2,1,8,1,5,nggnzmfks
1,0,1,3.86904761904762,1,3,1,3,1,9,1,5,nggnzmfks
2,1,4,8.33333333333333,1,2,1,2,1,10,1,5,nggnzmfks
1,1,3,9.82142857142857,1,3,1,3,1,11,1,5,nggnzmfks
1,0,1,4.46428571428571,1,4,1,4,1,12,1,5,nggnzmfks
1,0,1,-0,1,5,1,5,1,13,1,5,nggnzmfks
2,1,4,6.10119047619048,1,4,1,4,1,14,1,5,nggnzmfks
2,0,2,-0,1,5,1,5,1,15,1,5,nggnzmfks
1,0,1,5.95238095238095,1,5,1,5,1,16,1,5,nggnzmfks
1,1,3,36.6071428571429,1,5,1,5,1,17,1,5,nggnzmfks
1,1,3,5.35714285714286,1,5,1,5,1,18,1,5,nggnzmfks
2,0,2,-0,1,5,1,5,1,19,1,5,nggnzmfks
2,1,4,15.0297619047619,1,3,1,3,1,20,1,5,nggnzmfks
2,1,4,41.0714285714286,1,5,1,5,1,1,2,9,nggnzmfks
2,1,4,30.6547619047619,1,4,1,4,1,2,2,9,nggnzmfks
1,0,1,10.5654761904762,1,4,1,4,1,3,2,9,nggnzmfks
2,1,4,34.375,1,3,1,3,1,4,2,9,nggnzmfks
1,1,3,32.1428571428571,1,3,1,3,1,5,2,9,nggnzmfks
2,0,2,-0,1,4,1,4,1,6,2,9,nggnzmfks
1,0,1,6.10119047619048,1,4,1,4,1,7,2,9,nggnzmfks
2,1,4,30.6547619047619,1,5,1,5,1,8,2,9,nggnzmfks
1,1,3,20.2380952380952,1,3,1,3,1,9,2,9,nggnzmfks
2,0,2,3.86904761904762,1,3,1,3,1,10,2,9,nggnzmfks
1,0,1,5.35714285714286,1,3,1,3,1,11,2,9,nggnzmfks
1,1,3,44.047619047619,1,3,1,3,1,12,2,9,nggnzmfks
1,1,3,19.4940476190476,1,5,1,5,1,13,2,9,nggnzmfks
2,0,2,-0,1,2,1,2,1,14,2,9,nggnzmfks
2,0,2,2.38095238095238,1,2,1,2,1,15,2,9,nggnzmfks
2,1,4,24.702380952381,1,3,1,3,1,16,2,9,nggnzmfks
1,0,1,-0,1,5,1,5,1,17,2,9,nggnzmfks
1,1,3,35.8630952380952,1,3,1,3,1,18,2,9,nggnzmfks
2,0,2,-0,1,4,1,4,1,19,2,9,nggnzmfks
1,0,1,3.125,1,5,1,5,1,20,2,9,nggnzmfks
2,1,4,73.0654761904762,1,2,1,2,1,1,1,9,nghkwq2t1
2,1,4,79.7619047619048,1,2,1,4,0,2,1,9,nghkwq2t1
1,0,1,79.0178571428571,1,4,1,4,1,3,1,9,nghkwq2t1
2,1,4,78.2738095238095,1,1,1,4,0,4,1,9,nghkwq2t1
1,1,3,64.8809523809524,1,2,1,2,1,5,1,9,nghkwq2t1
2,0,2,64.1369047619048,1,1,1,2,0,6,1,9,nghkwq2t1
1,0,1,52.2321428571429,1,3,1,3,1,7,1,9,nghkwq2t1
2,1,4,58.1845238095238,1,1,1,3,0,8,1,9,nghkwq2t1
1,1,3,73.8095238095238,1,4,1,4,1,9,1,9,nghkwq2t1
2,0,2,58.1845238095238,1,2,1,4,0,10,1,9,nghkwq2t1
1,0,1,64.8809523809524,1,2,1,2,1,11,1,9,nghkwq2t1
1,1,3,62.6488095238095,1,2,1,2,1,12,1,9,nghkwq2t1
1,1,3,63.3928571428571,1,2,1,2,1,13,1,9,nghkwq2t1
2,0,2,61.9047619047619,1,3,1,5,0,14,1,9,nghkwq2t1
2,0,2,60.4166666666667,1,2,1,5,0,15,1,9,nghkwq2t1
2,1,4,61.1607142857143,1,2,1,3,0,16,1,9,nghkwq2t1
1,0,1,60.4166666666667,1,2,1,4,0,17,1,9,nghkwq2t1
1,1,3,61.9047619047619,1,3,1,2,0,18,1,9,nghkwq2t1
2,0,2,67.1130952380952,1,2,1,2,1,19,1,9,nghkwq2t1
1,0,1,58.9285714285714,1,4,1,4,1,20,1,9,nghkwq2t1
2,0,2,79.7619047619048,1,3,1,3,1,1,2,7,nghkwq2t1
1,0,1,66.3690476190476,1,3,1,3,1,2,2,7,nghkwq2t1
2,1,4,63.3928571428571,1,2,1,3,0,3,2,7,nghkwq2t1
1,1,3,63.3928571428571,1,5,1,5,1,4,2,7,nghkwq2t1
2,0,2,61.1607142857143,1,2,1,2,1,5,2,7,nghkwq2t1
2,1,4,61.1607142857143,1,1,1,4,0,6,2,7,nghkwq2t1
2,0,2,71.5773809523809,1,1,1,5,0,7,2,7,nghkwq2t1
1,0,1,64.8809523809524,1,5,1,5,1,8,2,7,nghkwq2t1
1,1,3,61.9047619047619,1,5,1,5,1,9,2,7,nghkwq2t1
1,0,1,58.9285714285714,1,2,1,2,1,10,2,7,nghkwq2t1
1,0,1,61.1607142857143,1,3,1,3,1,11,2,7,nghkwq2t1
2,1,4,74.5535714285714,1,2,1,2,1,12,2,7,nghkwq2t1
2,1,4,58.9285714285714,1,1,1,5,0,13,2,7,nghkwq2t1
1,0,1,58.9285714285714,1,1,1,5,0,14,2,7,nghkwq2t1
1,1,3,66.3690476190476,1,4,1,3,0,15,2,7,nghkwq2t1
1,1,3,64.8809523809524,1,1,1,5,0,16,2,7,nghkwq2t1
2,0,2,62.6488095238095,1,1,1,2,0,17,2,7,nghkwq2t1
2,0,2,58.1845238095238,1,2,1,3,0,18,2,7,nghkwq2t1
1,1,3,59.672619047619,1,2,1,2,1,19,2,7,nghkwq2t1
2,1,4,58.9285714285714,1,2,1,5,0,20,2,7,nghkwq2t1
1,0,1,63.3928571428571,1,2,1,2,1,1,1,10,ngnxd2q49
1,1,3,65.625,1,5,1,5,1,2,1,10,ngnxd2q49
2,1,4,67.8571428571429,1,5,1,5,1,3,1,10,ngnxd2q49
2,0,2,10.5654761904762,1,3,1,5,0,4,1,10,ngnxd2q49
2,1,4,76.0416666666667,1,4,1,5,0,5,1,10,ngnxd2q49
1,1,3,80.5059523809524,1,3,1,3,1,6,1,10,ngnxd2q49
2,0,2,70.8333333333333,1,5,1,5,1,7,1,10,ngnxd2q49
2,0,2,31.3988095238095,1,3,1,2,0,8,1,10,ngnxd2q49
2,1,4,81.9940476190476,1,4,1,4,1,9,1,10,ngnxd2q49
1,1,3,84.2261904761905,1,3,1,3,1,10,1,10,ngnxd2q49
1,0,1,73.0654761904762,1,5,1,5,1,11,1,10,ngnxd2q49
2,1,4,81.25,1,2,1,2,1,12,1,10,ngnxd2q49
1,1,3,88.6904761904762,1,5,1,5,1,13,1,10,ngnxd2q49
2,0,2,31.3988095238095,1,3,1,4,0,14,1,10,ngnxd2q49
2,1,4,80.5059523809524,1,5,1,5,1,15,1,10,ngnxd2q49
2,0,2,32.1428571428571,1,3,1,3,1,16,1,10,ngnxd2q49
1,0,1,41.0714285714286,1,5,1,5,1,17,1,10,ngnxd2q49
1,1,3,84.2261904761905,1,2,1,2,1,18,1,10,ngnxd2q49
1,0,1,59.672619047619,1,4,1,4,1,19,1,10,ngnxd2q49
1,0,1,68.6011904761905,1,3,1,3,1,20,1,10,ngnxd2q49
1,0,1,57.4404761904762,1,2,1,2,1,1,2,5,ngnxd2q49
2,1,4,41.0714285714286,1,5,1,5,1,2,2,5,ngnxd2q49
2,0,2,40.327380952381,1,3,1,2,0,3,2,5,ngnxd2q49
2,0,2,38.0952380952381,1,2,1,5,0,4,2,5,ngnxd2q49
2,1,4,64.1369047619048,1,3,1,3,1,5,2,5,ngnxd2q49
1,1,3,69.3452380952381,1,3,1,3,1,6,2,5,ngnxd2q49
2,0,2,60.4166666666667,1,3,1,3,1,7,2,5,ngnxd2q49
1,1,3,75.2976190476191,1,4,1,4,1,8,2,5,ngnxd2q49
1,0,1,62.6488095238095,1,3,1,3,1,9,2,5,ngnxd2q49
2,1,4,81.25,1,2,1,2,1,10,2,5,ngnxd2q49
1,1,3,84.2261904761905,1,2,1,2,1,11,2,5,ngnxd2q49
1,0,1,55.2083333333333,1,3,1,3,1,12,2,5,ngnxd2q49
1,0,1,67.8571428571429,1,2,1,2,1,13,2,5,ngnxd2q49
2,1,4,77.5297619047619,1,1,1,2,0,14,2,5,ngnxd2q49
2,0,2,64.1369047619048,1,5,1,5,1,15,2,5,ngnxd2q49
1,0,1,67.8571428571429,1,5,1,5,1,16,2,5,ngnxd2q49
1,1,3,77.5297619047619,1,3,1,3,1,17,2,5,ngnxd2q49
1,1,3,81.9940476190476,1,4,1,4,1,18,2,5,ngnxd2q49
2,0,2,65.625,1,4,1,4,1,19,2,5,ngnxd2q49
2,1,4,81.25,1,5,1,5,1,20,2,5,ngnxd2q49
2,1,4,95.3869047619048,1,1,1,3,0,1,1,9,nh5p3g6fr
2,1,4,62.6488095238095,1,3,1,5,0,2,1,9,nh5p3g6fr
1,0,1,19.4940476190476,1,5,1,5,1,3,1,9,nh5p3g6fr
2,1,4,63.3928571428571,1,5,1,2,0,4,1,9,nh5p3g6fr
1,1,3,54.4642857142857,1,3,1,3,1,5,1,9,nh5p3g6fr
2,0,2,5.35714285714286,1,4,1,3,0,6,1,9,nh5p3g6fr
1,0,1,17.2619047619048,1,4,1,4,1,7,1,9,nh5p3g6fr
2,1,4,45.5357142857143,1,5,1,4,0,8,1,9,nh5p3g6fr
1,1,3,63.3928571428571,1,5,1,5,1,9,1,9,nh5p3g6fr
2,0,2,35.8630952380952,1,2,1,3,0,10,1,9,nh5p3g6fr
1,0,1,47.7678571428571,1,4,1,4,1,11,1,9,nh5p3g6fr
1,1,3,66.3690476190476,1,5,1,4,0,12,1,9,nh5p3g6fr
1,1,3,56.6964285714286,1,2,1,2,1,13,1,9,nh5p3g6fr
2,0,2,33.6309523809524,1,2,1,2,1,14,1,9,nh5p3g6fr
2,0,2,26.1904761904762,1,3,1,3,1,15,1,9,nh5p3g6fr
2,1,4,84.9702380952381,1,3,1,5,0,16,1,9,nh5p3g6fr
1,0,1,51.4880952380952,1,3,1,3,1,17,1,9,nh5p3g6fr
1,1,3,87.2023809523809,1,4,1,4,1,18,1,9,nh5p3g6fr
2,0,2,41.8154761904762,1,4,1,2,0,19,1,9,nh5p3g6fr
1,0,1,38.0952380952381,1,5,1,5,1,20,1,9,nh5p3g6fr
2,0,2,89.4345238095238,1,4,1,4,1,1,2,7,nh5p3g6fr
1,0,1,31.3988095238095,1,4,1,4,1,2,2,7,nh5p3g6fr
2,1,4,60.4166666666667,1,5,1,5,1,3,2,7,nh5p3g6fr
1,1,3,56.6964285714286,1,5,1,5,1,4,2,7,nh5p3g6fr
2,0,2,30.6547619047619,1,2,1,4,0,5,2,7,nh5p3g6fr
2,1,4,73.0654761904762,1,1,1,2,0,6,2,7,nh5p3g6fr
2,0,2,40.327380952381,1,2,1,2,1,7,2,7,nh5p3g6fr
1,0,1,38.0952380952381,1,2,1,3,0,8,2,7,nh5p3g6fr
1,1,3,65.625,1,5,1,5,1,9,2,7,nh5p3g6fr
1,0,1,36.6071428571429,1,3,1,3,1,10,2,7,nh5p3g6fr
1,0,1,16.5178571428571,1,5,1,5,1,11,2,7,nh5p3g6fr
2,1,4,76.7857142857143,1,1,1,2,0,12,2,7,nh5p3g6fr
2,1,4,67.1130952380952,1,3,1,5,0,13,2,7,nh5p3g6fr
1,0,1,33.6309523809524,1,3,1,3,1,14,2,7,nh5p3g6fr
1,1,3,56.6964285714286,1,2,1,2,1,15,2,7,nh5p3g6fr
1,1,3,67.1130952380952,1,3,1,3,1,16,2,7,nh5p3g6fr
2,0,2,56.6964285714286,1,4,1,4,1,17,2,7,nh5p3g6fr
2,0,2,52.9761904761905,1,4,1,3,0,18,2,7,nh5p3g6fr
1,1,3,72.3214285714286,1,3,1,3,1,19,2,7,nh5p3g6fr
2,1,4,70.8333333333333,1,2,1,5,0,20,2,7,nh5p3g6fr
2,1,4,63.3928571428571,1,4,1,4,1,1,1,9,nhbhunn66
2,1,4,47.0238095238095,1,4,1,5,0,2,1,9,nhbhunn66
1,0,1,22.4702380952381,1,5,1,5,1,3,1,9,nhbhunn66
2,1,4,55.2083333333333,1,5,1,5,1,4,1,9,nhbhunn66
1,1,3,64.8809523809524,1,3,1,3,1,5,1,9,nhbhunn66
2,0,2,26.1904761904762,1,4,1,4,1,6,1,9,nhbhunn66
1,0,1,21.7261904761905,1,3,1,3,1,7,1,9,nhbhunn66
2,1,4,51.4880952380952,1,3,1,3,1,8,1,9,nhbhunn66
1,1,3,67.1130952380952,1,5,1,5,1,9,1,9,nhbhunn66
2,0,2,28.422619047619,1,3,1,3,1,10,1,9,nhbhunn66
1,0,1,20.9821428571429,1,3,1,3,1,11,1,9,nhbhunn66
1,1,3,69.3452380952381,1,5,1,5,1,12,1,9,nhbhunn66
1,1,3,64.1369047619048,1,5,1,5,1,13,1,9,nhbhunn66
2,0,2,15.0297619047619,1,4,1,5,0,14,1,9,nhbhunn66
2,0,2,28.422619047619,1,3,1,5,0,15,1,9,nhbhunn66
2,1,4,69.3452380952381,1,4,1,4,1,16,1,9,nhbhunn66
1,0,1,41.0714285714286,1,3,1,3,1,17,1,9,nhbhunn66
1,1,3,61.9047619047619,1,4,1,4,1,18,1,9,nhbhunn66
2,0,2,57.4404761904762,1,4,1,4,1,19,1,9,nhbhunn66
1,0,1,44.047619047619,1,5,1,5,1,20,1,9,nhbhunn66
1,0,1,55.952380952381,1,2,1,2,1,1,2,5,nhbhunn66
2,1,4,50,1,2,1,3,0,2,2,5,nhbhunn66
2,0,2,40.327380952381,1,2,1,2,1,3,2,5,nhbhunn66
2,0,2,37.3511904761905,1,2,1,3,0,4,2,5,nhbhunn66
2,1,4,44.7916666666667,1,2,1,3,0,5,2,5,nhbhunn66
1,1,3,50,1,5,1,5,1,6,2,5,nhbhunn66
2,0,2,35.1190476190476,1,3,1,3,1,7,2,5,nhbhunn66
1,1,3,54.4642857142857,1,5,1,5,1,8,2,5,nhbhunn66
1,0,1,45.5357142857143,1,5,1,5,1,9,2,5,nhbhunn66
2,1,4,50,1,3,1,3,1,10,2,5,nhbhunn66
1,1,3,55.952380952381,1,4,1,4,1,11,2,5,nhbhunn66
1,0,1,44.047619047619,1,2,1,2,1,12,2,5,nhbhunn66
1,0,1,18.75,1,2,1,2,1,13,2,5,nhbhunn66
2,1,4,53.7202380952381,1,3,1,3,1,14,2,5,nhbhunn66
2,0,2,41.8154761904762,1,4,1,4,1,15,2,5,nhbhunn66
1,0,1,30.6547619047619,1,5,1,5,1,16,2,5,nhbhunn66
1,1,3,58.9285714285714,1,2,1,2,1,17,2,5,nhbhunn66
1,1,3,54.4642857142857,1,4,1,4,1,18,2,5,nhbhunn66
2,0,2,55.2083333333333,1,5,1,5,1,19,2,5,nhbhunn66
2,1,4,53.7202380952381,1,3,1,5,0,20,2,5,nhbhunn66
1,0,1,70.0892857142857,1,4,1,4,1,1,1,3,nhxfc6crc
1,0,1,45.5357142857143,1,3,1,3,1,2,1,3,nhxfc6crc
1,1,3,75.2976190476191,1,5,1,5,1,3,1,3,nhxfc6crc
2,1,4,50,1,4,1,4,1,4,1,3,nhxfc6crc
2,0,2,44.047619047619,1,4,1,5,0,5,1,3,nhxfc6crc
1,1,3,34.375,1,4,1,4,1,6,1,3,nhxfc6crc
2,1,4,45.5357142857143,1,3,1,3,1,7,1,3,nhxfc6crc
2,0,2,26.9345238095238,1,3,1,4,0,8,1,3,nhxfc6crc
1,0,1,15.7738095238095,1,2,1,2,1,9,1,3,nhxfc6crc
2,1,4,41.8154761904762,1,4,1,5,0,10,1,3,nhxfc6crc
1,0,1,12.797619047619,1,4,1,4,1,11,1,3,nhxfc6crc
2,0,2,15.0297619047619,1,3,1,3,1,12,1,3,nhxfc6crc
1,1,3,55.2083333333333,1,4,1,4,1,13,1,3,nhxfc6crc
1,1,3,59.672619047619,1,4,1,4,1,14,1,3,nhxfc6crc
2,0,2,23.9583333333333,1,4,1,5,0,15,1,3,nhxfc6crc
2,1,4,50,1,5,1,5,1,16,1,3,nhxfc6crc
1,0,1,15.7738095238095,1,5,1,5,1,17,1,3,nhxfc6crc
2,0,2,7.58928571428571,1,4,1,4,1,18,1,3,nhxfc6crc
2,1,4,50,1,4,1,4,1,19,1,3,nhxfc6crc
1,1,3,38.0952380952381,1,2,1,2,1,20,1,3,nhxfc6crc
1,0,1,55.952380952381,1,5,1,5,1,1,2,5,nhxfc6crc
2,1,4,50,1,2,1,2,1,2,2,5,nhxfc6crc
2,0,2,42.5595238095238,1,3,1,4,0,3,2,5,nhxfc6crc
2,0,2,23.2142857142857,1,4,1,4,1,4,2,5,nhxfc6crc
2,1,4,28.422619047619,1,2,1,4,0,5,2,5,nhxfc6crc
1,1,3,23.9583333333333,1,3,1,3,1,6,2,5,nhxfc6crc
2,0,2,13.5416666666667,1,4,1,5,0,7,2,5,nhxfc6crc
1,1,3,17.2619047619048,1,3,1,3,1,8,2,5,nhxfc6crc
1,0,1,0.892857142857143,1,3,1,3,1,9,2,5,nhxfc6crc
2,1,4,32.1428571428571,1,2,1,4,0,10,2,5,nhxfc6crc
1,1,3,42.5595238095238,1,5,1,5,1,11,2,5,nhxfc6crc
1,0,1,38.8392857142857,1,3,1,3,1,12,2,5,nhxfc6crc
1,0,1,26.1904761904762,1,4,1,4,1,13,2,5,nhxfc6crc
2,1,4,50,1,3,1,3,1,14,2,5,nhxfc6crc
2,0,2,35.8630952380952,1,3,1,3,1,15,2,5,nhxfc6crc
1,0,1,28.422619047619,1,2,1,2,1,16,2,5,nhxfc6crc
1,1,3,50,1,3,1,3,1,17,2,5,nhxfc6crc
1,1,3,44.047619047619,1,2,1,2,1,18,2,5,nhxfc6crc
2,0,2,6.10119047619048,1,4,1,5,0,19,2,5,nhxfc6crc
2,1,4,50,1,3,1,3,1,20,2,5,nhxfc6crc
1,1,3,67.8571428571429,1,2,1,2,1,1,1,2,nj48vw9pw
1,0,1,17.2619047619048,1,5,1,5,1,2,1,2,nj48vw9pw
1,0,1,18.75,1,5,1,5,1,3,1,2,nj48vw9pw
1,1,3,77.5297619047619,1,3,1,4,0,4,1,2,nj48vw9pw
2,1,4,38.0952380952381,1,3,1,5,0,5,1,2,nj48vw9pw
2,0,2,37.3511904761905,1,4,1,4,1,6,1,2,nj48vw9pw
2,1,4,41.0714285714286,1,3,1,3,1,7,1,2,nj48vw9pw
1,1,3,69.3452380952381,1,4,1,4,1,8,1,2,nj48vw9pw
1,0,1,54.4642857142857,1,2,1,2,1,9,1,2,nj48vw9pw
2,1,4,29.1666666666667,1,2,1,4,0,10,1,2,nj48vw9pw
2,0,2,9.82142857142857,1,3,1,2,0,11,1,2,nj48vw9pw
2,0,2,13.5416666666667,1,3,1,3,1,12,1,2,nj48vw9pw
1,1,3,62.6488095238095,1,2,1,2,1,13,1,2,nj48vw9pw
2,0,2,11.3095238095238,1,2,1,2,1,14,1,2,nj48vw9pw
1,1,3,63.3928571428571,1,5,1,5,1,15,1,2,nj48vw9pw
2,1,4,26.1904761904762,1,4,1,4,1,16,1,2,nj48vw9pw
1,0,1,43.3035714285714,1,4,1,3,0,17,1,2,nj48vw9pw
1,0,1,63.3928571428571,1,5,1,5,1,18,1,2,nj48vw9pw
2,1,4,43.3035714285714,1,2,1,2,1,19,1,2,nj48vw9pw
2,0,2,23.9583333333333,1,3,1,3,1,20,1,2,nj48vw9pw
1,0,1,31.3988095238095,1,5,1,5,1,1,2,1,nj48vw9pw
1,0,1,22.4702380952381,1,5,1,5,1,2,2,1,nj48vw9pw
1,1,3,68.6011904761905,1,2,1,2,1,3,2,1,nj48vw9pw
2,1,4,32.8869047619048,1,3,1,3,1,4,2,1,nj48vw9pw
1,0,1,15.7738095238095,1,3,1,3,1,5,2,1,nj48vw9pw
1,1,3,63.3928571428571,1,4,1,4,1,6,2,1,nj48vw9pw
2,0,2,30.6547619047619,1,4,1,4,1,7,2,1,nj48vw9pw
2,1,4,64.1369047619048,1,5,1,5,1,8,2,1,nj48vw9pw
2,1,4,43.3035714285714,1,3,1,3,1,9,2,1,nj48vw9pw
2,0,2,25.4464285714286,1,4,1,4,1,10,2,1,nj48vw9pw
1,1,3,33.6309523809524,1,3,1,4,0,11,2,1,nj48vw9pw
2,1,4,21.7261904761905,1,2,1,2,1,12,2,1,nj48vw9pw
2,0,2,11.3095238095238,1,1,1,2,0,13,2,1,nj48vw9pw
1,0,1,41.0714285714286,1,3,1,3,1,14,2,1,nj48vw9pw
1,1,3,76.7857142857143,1,5,1,5,1,15,2,1,nj48vw9pw
2,1,4,55.2083333333333,1,4,1,3,0,16,2,1,nj48vw9pw
1,0,1,36.6071428571429,1,4,1,4,1,17,2,1,nj48vw9pw
1,1,3,73.0654761904762,1,2,1,2,1,18,2,1,nj48vw9pw
2,0,2,35.1190476190476,1,5,1,5,1,19,2,1,nj48vw9pw
2,0,2,29.9107142857143,1,3,1,3,1,20,2,1,nj48vw9pw
1,0,1,12.0535714285714,1,3,1,3,1,1,1,1,nk18j4byy
1,0,1,-0,1,3,1,3,1,2,1,1,nk18j4byy
1,1,3,44.7916666666667,1,4,1,4,1,3,1,1,nk18j4byy
2,1,4,39.5833333333333,1,4,1,5,0,4,1,1,nk18j4byy
1,0,1,15.7738095238095,1,2,1,2,1,5,1,1,nk18j4byy
1,1,3,64.8809523809524,1,2,1,2,1,6,1,1,nk18j4byy
2,0,2,18.75,1,2,1,3,0,7,1,1,nk18j4byy
2,1,4,61.1607142857143,1,1,1,2,0,8,1,1,nk18j4byy
2,1,4,64.8809523809524,1,2,1,2,1,9,1,1,nk18j4byy
2,0,2,38.0952380952381,1,4,1,3,0,10,1,1,nk18j4byy
1,1,3,65.625,1,2,1,2,1,11,1,1,nk18j4byy
2,1,4,60.4166666666667,1,3,1,3,1,12,1,1,nk18j4byy
2,0,2,49.2559523809524,1,4,1,4,1,13,1,1,nk18j4byy
1,0,1,38.8392857142857,1,4,1,4,1,14,1,1,nk18j4byy
1,1,3,70.8333333333333,1,2,1,2,1,15,1,1,nk18j4byy
2,1,4,71.5773809523809,1,2,1,2,1,16,1,1,nk18j4byy
1,0,1,20.9821428571429,1,2,1,2,1,17,1,1,nk18j4byy
1,1,3,62.6488095238095,1,4,1,4,1,18,1,1,nk18j4byy
2,0,2,46.2797619047619,1,2,1,3,0,19,1,1,nk18j4byy
2,0,2,48.5119047619048,1,4,1,3,0,20,1,1,nk18j4byy
1,1,3,29.1666666666667,1,4,1,4,1,1,2,4,nk18j4byy
2,0,2,22.4702380952381,1,5,1,4,0,2,2,4,nk18j4byy
1,0,1,11.3095238095238,1,2,1,2,1,3,2,4,nk18j4byy
2,1,4,66.3690476190476,1,5,1,4,0,4,2,4,nk18j4byy
1,1,3,69.3452380952381,1,2,1,2,1,5,2,4,nk18j4byy
1,0,1,50.7440476190476,1,4,1,4,1,6,2,4,nk18j4byy
2,0,2,46.2797619047619,1,3,1,2,0,7,2,4,nk18j4byy
2,1,4,63.3928571428571,1,2,1,2,1,8,2,4,nk18j4byy
1,1,3,76.7857142857143,1,2,1,2,1,9,2,4,nk18j4byy
2,0,2,55.2083333333333,1,4,1,4,1,10,2,4,nk18j4byy
1,0,1,44.7916666666667,1,2,1,2,1,11,2,4,nk18j4byy
1,1,3,72.3214285714286,1,2,1,2,1,12,2,4,nk18j4byy
2,1,4,73.0654761904762,1,1,1,2,0,13,2,4,nk18j4byy
1,0,1,55.952380952381,1,2,1,2,1,14,2,4,nk18j4byy
2,0,2,58.9285714285714,1,3,1,4,0,15,2,4,nk18j4byy
2,1,4,85.7142857142857,1,3,1,3,1,16,2,4,nk18j4byy
2,1,4,80.5059523809524,1,3,1,4,0,17,2,4,nk18j4byy
2,0,2,56.6964285714286,1,5,1,4,0,18,2,4,nk18j4byy
1,1,3,84.9702380952381,1,2,1,2,1,19,2,4,nk18j4byy
1,0,1,55.952380952381,1,2,1,2,1,20,2,4,nk18j4byy
1,0,1,62.6488095238095,1,4,1,4,1,1,1,5,nk6pe5h9j
2,1,4,58.9285714285714,1,5,1,5,1,2,1,5,nk6pe5h9j
2,0,2,50,1,3,1,3,1,3,1,5,nk6pe5h9j
2,0,2,46.2797619047619,1,2,1,2,1,4,1,5,nk6pe5h9j
2,1,4,52.9761904761905,1,4,1,5,0,5,1,5,nk6pe5h9j
1,1,3,65.625,1,5,1,5,1,6,1,5,nk6pe5h9j
2,0,2,41.8154761904762,1,2,1,2,1,7,1,5,nk6pe5h9j
1,1,3,74.5535714285714,1,2,1,2,1,8,1,5,nk6pe5h9j
1,0,1,40.327380952381,1,3,1,3,1,9,1,5,nk6pe5h9j
2,1,4,56.6964285714286,1,4,1,5,0,10,1,5,nk6pe5h9j
1,1,3,78.2738095238095,1,5,1,5,1,11,1,5,nk6pe5h9j
1,0,1,32.1428571428571,1,2,1,2,1,12,1,5,nk6pe5h9j
1,0,1,26.1904761904762,1,4,1,4,1,13,1,5,nk6pe5h9j
2,1,4,56.6964285714286,1,3,1,4,0,14,1,5,nk6pe5h9j
2,0,2,21.7261904761905,1,3,1,3,1,15,1,5,nk6pe5h9j
1,0,1,52.9761904761905,1,5,1,5,1,16,1,5,nk6pe5h9j
1,1,3,84.2261904761905,1,5,1,5,1,17,1,5,nk6pe5h9j
1,1,3,64.8809523809524,1,5,1,5,1,18,1,5,nk6pe5h9j
2,0,2,28.422619047619,1,3,1,3,1,19,1,5,nk6pe5h9j
2,1,4,50,1,3,1,2,0,20,1,5,nk6pe5h9j
1,0,1,50,1,5,1,5,1,1,2,3,nk6pe5h9j
1,0,1,50,1,3,0,4,0,2,2,3,nk6pe5h9j
1,1,3,61.1607142857143,1,3,1,3,1,3,2,3,nk6pe5h9j
2,1,4,37.3511904761905,1,3,1,4,0,4,2,3,nk6pe5h9j
2,0,2,10.5654761904762,1,5,1,5,1,5,2,3,nk6pe5h9j
1,1,3,84.2261904761905,1,2,1,2,1,6,2,3,nk6pe5h9j
2,1,4,39.5833333333333,1,3,1,3,1,7,2,3,nk6pe5h9j
2,0,2,2.38095238095238,1,3,1,3,1,8,2,3,nk6pe5h9j
1,0,1,11.3095238095238,1,4,1,4,1,9,2,3,nk6pe5h9j
2,1,4,55.2083333333333,1,3,1,3,1,10,2,3,nk6pe5h9j
1,0,1,10.5654761904762,1,5,1,5,1,11,2,3,nk6pe5h9j
2,0,2,-0,1,4,1,4,1,12,2,3,nk6pe5h9j
1,1,3,59.672619047619,1,2,1,2,1,13,2,3,nk6pe5h9j
